DANIEL BERGER 120fps SLOW MOTION FACE ON DRIVER GOLF SWING 1080 HD_Trim2.mp4,73,400,578,583,703
RORY MCILROY IRON SWING - FACE ON - SLOW MOTION_Trim.mp4,68,758,1349,1379,1808
DANIEL BERGER 120fps SLOW MOTION FACE ON DRIVER GOLF SWING 1080 HD_Trim1.mp4,39,189,327,332,396
dustin-johnson-super-slow-mo-swing-with-sim-driver-taylormade-golf_LwOFRR9L.mp4,83,359,602,608,701
[300FPS] Bae Sang Moon slow motion Driver with Practice Golf Swing.mp4,25,269,519,525,616
Ryo Ishikawa Driver FO Slow Motion 300 FPS_Trim.mp4,73,229,340,345,413
Tim Clark Golf Swing Video 300 FPS Presidents Cup._Trim2.mp4,59,216,346,351,429
matt-wolffs-golf-swing-in-super-slow-motion-taylormade-golf_HdkYQ6CI.mp4,376,534,717,721,783
Tiger Woods Slow Mo Driver Swing - TaylorMade Golf (online-video-cutter.com).mp4,31,278,484,490,595
Eduardo Molinari Driver FO Slow Motion 300 FPS_Trim.mp4,133,324,454,458,507
[300FPS] Bae Sang Moon slow motion Iron Golf Swing.mp4,28,381,662,676,786
Pat Perez DL FO Slow Motion Golf Swings 300 FPS_Trim.mp4,30,165,267,274,334
"Adam Scott Golf Swing Video -- 2014, Face On View, 300fps Slow Motion, 1080p HD, Iron.mp4",44,287,487,498,567
Tim Clark Golf Swing Video 300 FPS Presidents Cup._Trim.mp4,17,128,270,276,317
Tom Watson FO Schwab Cup 2010 300 fps_Trim.mp4,131,274,428,433,475
"Jeff Evans- Master Instructor, FO @ 300 fps.mp4",1226,1372,1535,1542,1608
RORY MCILROY FAIRWAY IRON SLOW MOTION GOLF SWING 1080 HD_Trim.mp4,10,99,192,197,230
Justin Thomas Slow Motion Iron off the tee #shorts.mp4,50,160,294,303,327
Rory Mcilroy Slow Motion Long Iron off the tee US Open #shorts.mp4,65,168,250,255,289
Justin Thomas Slow Motion Iron off the tee #shorts.mp4,47,162,297,303,331
Golf Swing Sand Shot Casio EX-F1 300 FPS.mp4,133,324,488,495,585
Brooks Koepka Slow Motion Driver Swing #shorts.mp4,24,80,193,198,223
PADRAIG HARRINGTON 2ND HOLE 2011 OPEN GOLF ROYAL ST GEORGE_S.avi.mp4,42,126,223,229,259
World No.1 Luke Donald FO Slow Motion Golf Swing 300 FPS.mp4,85,194,317,322,360
DAVIS LOVE  2nd HOLE 2011 OPEN GOLF ROYAL ST GEORGE_S.avi.mp4,35,135,252,257,291
JAMES BYRNE (WALKER CUP TEAM MEMBER 2011) 16TH HOLE GLENEAGLES SCOTLAND.mp4,92,234,347,355,385
videoplayback.mp4,53,184,350,354,383
DARREN CLARKE OPEN CHAMPION 2011 ROYAL ST GEORGE_S.wmv.mp4,21,139,268,274,326
Own Your Golf Game - Quinn Riley - Driver Swing (Face On)_2.mp4,81,145,239,242,255
RORY MCILROY SLOW MOTION DRIVER SWING (FACE ON).mp4,61,135,237,243,269
Casio EX-F1 300 fps Golf Swing Front.mp4,86,253,476,484,534
Rotary Golf Swing at 300 fps.mp4,22,104,208,212,229
